Threads,Matrix,Technique,Execution Time
16,data_10000_10_5.txt,5,5.245620
16,data_10000_10_5.txt,6,5.129800
16,data_10000_10_5.txt,7,5.964750
16,data_10000_10000_5.txt,0,4477.075391
16,data_10000_10000_5.txt,1,840.229492
16,data_10000_10000_5.txt,2,852.053125
16,data_10000_10000_5.txt,3,846.931250
16,data_10000_10000_5.txt,4,956.429297
16,data_10000_10000_5.txt,5,822.858398
16,data_10000_10000_5.txt,6,846.326367
16,data_10000_10000_5.txt,7,986.365527

16,data_10_10_3.txt,1,2.917180
16,data_10_10_3.txt,3,2.998130
16,data_10_10000_5.txt,1,4.696450
16,data_10000_10_5.txt,3,5.902610
